tradeN;symbol;type;shares;entrySignal;entryTime;entryPrice;exitSignal;exitTime;exitPrice;profit;runUp;drawDown
84;MTA.SG;Long;341;breakout_n;02/02/2007 00:00:00;29,3;volatility exit;16/02/2007 00:00:00;29,81;173,910000000001;709,28;-85,25
85;MTA.SOL;Long;1824;breakout_n;09/02/2007 00:00:00;5,48;volatility exit;16/02/2007 00:00:00;5,21;-492,480000000001;18,24;-492,48
86;MTA.BRE;Long;5050;breakout_n;09/02/2007 00:00:00;1,98;volatility exit;23/02/2007 00:00:00;1,97;-50,5;505;-303
87;MTA.CEM;Long;1347;breakout_52;26/01/2007 00:00:00;7,42;volatility exit;23/02/2007 00:00:00;8,72;1751,1;2518,89;0
88;MTA.BZU;Long;462;breakout_n;23/02/2007 00:00:00;21,64;volatility exit;02/03/2007 00:00:00;21,37;-124,74;628,32;-124,74
89;MTA.CMB;Long;1300;breakout_n;09/02/2007 00:00:00;7,69;volatility exit;02/03/2007 00:00:00;10,04;3055;4043;0
90;MTA.CE;Long;850;breakout_n;09/02/2007 00:00:00;11,76;volatility exit;02/03/2007 00:00:00;11,72;-33,999999999999;612;-34
91;MTA.DAN;Long;619;breakout_n;16/02/2007 00:00:00;16,14;volatility exit;02/03/2007 00:00:00;16,13;-6,190000000001;526,15;-6,19
92;MTA.ITM;Long;253;breakout_n;16/02/2007 00:00:00;39,48;volatility exit;02/03/2007 00:00:00;40,05;144,21;678,04;0
93;MTA.MARR;Long;1447;breakout_n;15/12/2006 00:00:00;6,91;volatility exit;02/03/2007 00:00:00;7,39;694,560000000001;1258,89;0
94;MTA.MN;Long;1170;breakout_52;26/01/2007 00:00:00;8,54;lowest_low exit;02/03/2007 00:00:00;8,01;-620,100000000001;187,2;-620,1
95;MTA.REY;Long;1675;breakout_52;23/02/2007 00:00:00;5,97;volatility exit;02/03/2007 00:00:00;5,87;-167,499999999999;351,75;-167,5
96;MTA.ARN;Long;1683;breakout_52;23/02/2007 00:00:00;5,94;volatility exit;02/03/2007 00:00:00;6,63;1161,27;2339,37;0
97;MTA.CEM;Long;1076;breakout_n;09/03/2007 00:00:00;9,29;volatility exit;16/03/2007 00:00:00;9,24;-53,800000000001;527,24;-53,8
98;MTA.MARR;Long;1254;breakout_52;16/03/2007 00:00:00;7,97;volatility exit;30/03/2007 00:00:00;7,98;12,540000000001;539,22;-288,42
99;MTA.DAN;Long;588;breakout_n;30/03/2007 00:00:00;16,99;volatility exit;06/04/2007 00:00:00;17,5;299,879999999999;846,72;0
100;MTA.DLG;Long;2212;breakout_n;06/04/2007 00:00:00;4,52;volatility exit;13/04/2007 00:00:00;4,29;-508,760000000001;0;-508,76
101;MTA.ARN;Long;1364;breakout_n;06/04/2007 00:00:00;7,33;volatility exit;13/04/2007 00:00:00;7,91;791,12;1377,64;0
102;MTA.BZU;Long;434;breakout_n;13/04/2007 00:00:00;23;volatility exit;20/04/2007 00:00:00;22,21;-342,86;164,92;-342,86
103;MTA.DAN;Long;541;breakout_52;20/04/2007 00:00:00;18,48;volatility exit;04/05/2007 00:00:00;18,81;178,529999999999;751,99;-373,29
104;MTA.ELN;Long;4424;breakout_n;13/04/2007 00:00:00;2,26;volatility exit;04/05/2007 00:00:00;2,12;-619,360000000001;88,48;-619,36
105;MTA.REY;Long;1618;breakout_n;30/03/2007 00:00:00;6,18;volatility exit;04/05/2007 00:00:00;6,93;1213,5;2831,5;0
106;MTA.BRE;Long;4807;breakout_n;13/04/2007 00:00:00;2,08;volatility exit;11/05/2007 00:00:00;2,16;384,56;1153,68;0
107;MTA.CEM;Long;1022;breakout_n;06/04/2007 00:00:00;9,78;volatility exit;11/05/2007 00:00:00;10,85;1093,54;1686,3;-122,64
108;MTA.MARR;Long;1190;breakout_n;13/04/2007 00:00:00;8,4;volatility exit;11/05/2007 00:00:00;8,17;-273,700000000001;452,2;-404,6
109;MTA.BZU;Long;427;breakout_n;04/05/2007 00:00:00;23,38;volatility exit;18/05/2007 00:00:00;23,49;46,970000000001;576,45;0
110;MTA.SOL;Long;1808;breakout_n;27/04/2007 00:00:00;5,53;volatility exit;18/05/2007 00:00:00;5,6;126,560000000001;668,96;-72,32
111;MTA.CALT;Long;1142;breakout_52;04/05/2007 00:00:00;8,75;volatility exit;25/05/2007 00:00:00;8,62;-148,459999999999;376,86;-319,76
112;MTA.CE;Long;801;breakout_n;27/04/2007 00:00:00;12,48;volatility exit;25/05/2007 00:00:00;11,84;-512,64;136,17;-512,64
113;MTA.IRE;Long;3831;breakout_n;06/04/2007 00:00:00;2,61;volatility exit;01/06/2007 00:00:00;2,71;383,1;1072,68;0
114;MTA.SRS;Long;2155;breakout_52;25/05/2007 00:00:00;4,64;volatility exit;01/06/2007 00:00:00;4,46;-387,899999999999;129,3;-387,9
115;MTA.ACE;Long;645;breakout_n;27/04/2007 00:00:00;15,5;volatility exit;01/06/2007 00:00:00;16,22;464,399999999999;1019,1;-19,35
116;MTA.BRE;Long;4201;breakout_52;25/05/2007 00:00:00;2,38;volatility exit;08/06/2007 00:00:00;2,34;-168,04;378,09;-378,09
